"value","age","Unnamed..4_level_0_90s","Expected_PSxG.SoT","Expected_.90","Launched_Cmp.","Passes_Launch.","Passes_AvgLen","Goal.Kicks_Launch.","Goal.Kicks_AvgLen","Crosses_Stp.","Sweeper_.OPA.90","Sweeper_AvgDist","GoalsGA.MP","GoalsFK.MP","GoalsPKA.MP","GoalsCK.MP","GoalsOG.MP","Expected_PSxG.MP","Expected_PSxG....MP","Launched_Cmp.MP","Launched_Att.MP","Passes_Att.MP","Passes_Thr.MP","Goal.Kicks_Att.MP","Crosses_Opp.MP","Crosses_Stp.MP","Sweeper_.OPA.MP"
32,25,27,0.27,0.02,27.1,35.1,33.4,58.9,49.4,6.1,1.23,16.8,0.925925925925926,0,0.0740740740740741,0.148148148148148,0.037037037037037,0.907407407407407,0.0185185185185185,2.81481481481481,10.3703703703704,23.6666666666667,4.74074074074074,3.51851851851852,9.77777777777778,0.592592592592593,1.18518518518519
1.5,35,19,0.24,-0.38,38.6,39.8,35.3,51.9,42.9,5.5,1.32,18.1,1.52631578947368,0.0526315789473684,0.105263157894737,0.210526315789474,0.0526315789473684,1.08947368421053,-0.384210526315789,5.42105263157895,14.0526315789474,26.3157894736842,3.94736842105263,6.89473684210526,13.3157894736842,0.736842105263158,1.31578947368421
3,32,13,0.27,0.13,41.9,50.3,40.8,68,51.3,5.4,1.54,14.9,0.769230769230769,0,0,0,0,0.9,0.130769230769231,8.30769230769231,19.8461538461538,29.3846153846154,5.15384615384615,7.46153846153846,14.3076923076923,0.769230769230769,1.53846153846154
13,24,26,0.26,0.17,36.5,38.5,35.9,67.4,49.2,8,0.8,11.4,1.34615384615385,0.0384615384615385,0.153846153846154,0.115384615384615,0.153846153846154,1.28076923076923,0.165384615384615,5.07692307692308,13.9230769230769,24.3461538461538,5.42307692307692,6.73076923076923,13.0384615384615,1.03846153846154,0.769230769230769
3,29,1,0.36,-1.22,50,12,23.1,16.7,33.3,0,2,25.3,3,0,0,0,0,1.8,-1.2,2,4,25,4,6,7,0,2
18,26,25,0.26,0.08,36.4,15.5,26.6,17.4,26.4,3.1,1,16.4,0.64,0,0.04,0.04,0,0.724,0.084,1.6,4.4,21.72,3.6,5.96,10.24,0.32,1
25,28,25,0.22,-0.05,43.7,38.5,35.3,64.9,52,2.6,1.13,15.9,0.96,0.04,0,0.08,0.08,0.788,-0.052,6.48,14.84,28.6,3.68,5.92,12.16,0.32,1.08
1,32,6,0.24,-0.71,40,17.3,28,27,33.2,10.3,3,20.6,1.83333333333333,0,0,0.333333333333333,0,0.9,-0.6,3,7.5,33.6666666666667,4,6.16666666666667,9.66666666666667,1,2.5
8,27,27,0.23,-0.09,45.3,32.5,32.4,64.2,46,7.4,0.88,12.9,1.37037037037037,0.037037037037037,0.148148148148148,0.0740740740740741,0.0740740740740741,1.17407407407407,-0.0851851851851852,5.14814814814815,11.3703703703704,21.8888888888889,5.07407407407407,6.62962962962963,11.4814814814815,0.851851851851852,0.851851851851852
0.9,31,17,0.3,-0.46,41.7,45.9,38,75.9,56.4,2.3,1.18,15.2,2.41176470588235,0,0.176470588235294,0.176470588235294,0,1.95882352941176,-0.452941176470588,8.11764705882353,19.4705882352941,29.4705882352941,3.47058823529412,7.82352941176471,15.1176470588235,0.352941176470588,1.17647058823529
35,31,26,0.33,0.42,42.5,17.9,26.5,23.7,29.9,5.1,1.88,19.4,1.11538461538462,0,0.0769230769230769,0,0.0769230769230769,1.40769230769231,0.407692307692308,2.96153846153846,6.96153846153846,32,6,5.19230769230769,10.6153846153846,0.538461538461538,1.80769230769231
10,30,3.4,0.32,-0.09,41.2,42.9,33.9,52,36.9,2.9,0.41,11.5,2.05882352941176,0,0.588235294117647,0.294117647058824,0,1.70588235294118,-0.0588235294117647,4.11764705882353,10,14.4117647058824,2.05882352941176,7.35294117647059,10,0.294117647058824,0.294117647058824
40,27,16,0.19,-0.08,35.9,26.5,29.9,33,35.7,4.1,0.38,13.8,0.875,0,0.125,0.125,0.0625,0.73125,-0.08125,4.0625,11.3125,34.6875,4.75,6.4375,12.125,0.5,0.375
1,36,24,0.33,-0.31,40.7,30,33.9,33,33.7,5.9,1,14.5,1.54166666666667,0,0.125,0.125,0,1.11666666666667,-0.3,5.20833333333333,12.7916666666667,32.9166666666667,5.25,8.83333333333333,13.4166666666667,0.791666666666667,0.958333333333333
2.5,22,13.7,0.26,0.05,39.7,25.8,29.9,45.2,40.3,3.2,1.5,16.6,1.16788321167883,0,0,0.072992700729927,0,1.06569343065693,0.0437956204379562,4.52554744525547,11.3868613138686,28.2481751824818,7.37226277372263,9.05109489051095,13.5036496350365,0.437956204379562,1.38686131386861
3,29,17,0.28,0.17,37.5,36,34.9,56.6,45.5,8,1.06,14.4,0.941176470588235,0,0.0588235294117647,0.176470588235294,0,1.10588235294118,0.164705882352941,5.64705882352941,15.0588235294118,30.5882352941176,5.52941176470588,7.17647058823529,15.4705882352941,1.23529411764706,1.05882352941176
5,24,6,0.22,0.15,54.2,8,22.9,37.9,37.8,2.2,1.33,20.8,0.5,0,0,0,0.166666666666667,0.483333333333333,0.15,2.16666666666667,4,27.1666666666667,5.33333333333333,4.83333333333333,7.66666666666667,0.166666666666667,1.33333333333333
